#Pathway	sample1	sample2	sample3	sample4	sample5
Photosystem II	 5.292286069655111e-08	 0.0	 1.0967230782074853e-06	 0.00011035469436943274	 0.00011351387604802868
Photosystem I	 0.0	 0.0	 5.2999629891524057e-08	 2.732498926796542e-05	 3.217960981820029e-05
Cytochrome b6/f complex	 3.7417880150761835e-07	 6.998533672438243e-07	 1.9642414025624112e-07	 3.25120460878741e-05	 3.7514289359584396e-05
Anoxygenic photosystem II (pufML)	 0.0	 0.0	 0.0	 7.558213698813082e-06	 2.7265673614658554e-06
Anoxygenic photosystem I (pscABCD)	 0.0	 0.0	 0.0	 0.0	 0.0
RuBisCo	 1.8840986866265062e-06	 3.487365450420001e-05	 2.9264557024736823e-06	 4.87492637958484e-05	 1.746399663854055e-05
CBB Cycle	 5.5214396301398494e-05	 0.00020049347413122969	 3.8385864797068414e-05	 0.0002951579469759877	 0.0002822706964440576
rTCA Cycle	 3.0176407836915295e-06	 0.0	 4.429120154534648e-07	 0.0	 0.0
Wood-Ljungdahl	 1.7635077810513298e-05	 6.243642709976419e-05	 1.5501856700546176e-05	 5.8576455677063475e-05	 4.1244683754380474e-05
3-Hydroxypropionate Bicycle	 8.73598238961156e-06	 2.135761856050176e-05	 5.9719659795456985e-06	 4.403763130065836e-05	 2.004425190404145e-05
Dicarboxylate-hydroxybutyrate cycle	 2.9791923242948343e-05	 8.356589663423626e-05	 1.6843924843369413e-05	 0.0001345318898666596	 9.061510533161684e-05
Pectinesterase	 0	 0	 2.510839986021938e-07	 2.850600336008768e-05	 7.020915991420669e-06
Diacetylchitobiose deacetylase	 2.1007263587263817e-06	 2.7361625246993343e-06	 6.323110599356107e-07	 5.721440310542057e-06	 2.790687921691419e-06
Glucoamylase	 0	 0	 0	 4.1436528586227985e-06	 9.511899043261976e-07
D-galacturonate epimerase	 1.643601768753892e-05	 7.326289100609633e-05	 8.09874716148072e-06	 7.23929107687551e-05	 2.7026430068874537e-05
exo-poly-alpha-galacturonosidase	 0	 0	 0	 0	 0
