Cycle	Pathway	k_number	Detail
Photosystem	Photosystem II (psbABCDEF)	K02703	psbA; photosystem II P680 reaction center D1 protein
		K02706	psbD; photosystem II P680 reaction center D2 protein
		K02705	psbC; photosystem II CP43 chlorophyll apoprotein
		K02704	psbB; photosystem II CP47 chlorophyll apoprotein
		K02707	psbE; photosystem II cytochrome b559 subunit alpha
		K02708	psbF; photosystem II cytochrome b559 subunit beta
	Photosystem I (psaABCDEF)	K02689	psaA; photosystem I P700 chlorophyll a apoprotein A1
		K02690	psaB; photosystem I P700 chlorophyll a apoprotein A2
		K02691	psaC; photosystem I subunit VII
		K02692	psaD; photosystem I subunit II
		K02693	psaE; photosystem I subunit IV
		K02694	psaF; photosystem I subunit III
	Cytochrome b6/f complex (petABCDGLMN)	K02635	petB; cytochrome b6
		K02637	petD; cytochrome b6-f complex subunit 4
		K02634	petA; apocytochrome f
		K02636	petC; cytochrome b6-f complex iron-sulfur subunit
		K02642	petL; cytochrome b6-f complex subunit 6
		K02643	petM; cytochrome b6-f complex subunit 7
		K03689	PetN; cytochrome b6-f complex subunit 8
		K02640	petG; cytochrome b6-f complex subunit 5
	Anoxygenic photosystem II (pufML)	K08928	pufL; photosynthetic reaction center L subunit
		K08929	pufM; photosynthetic reaction center M subunit
	Anoxygenic photosystem I (pscABCD)	K08940	pscA; photosystem P840 reaction center large subunit
		K08941	pscB; photosystem P840 reaction center iron-sulfur protein
		K08942	pscC; photosystem P840 reaction center cytochrome c551
		K08943	pscD; photosystem P840 reaction center protein PscD
Carbon fixation	Calvin-Benson-Bassham cycle	K00855	"PRK, prkB; phosphoribulokinase [EC:2.7.1.19]"
		K01601	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
		K01602	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]
		K00927	"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"
		K05298	GAPA; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]
		K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
		K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
		K01623	"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
		K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
		K03841	"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
		K02446	"glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]"
		K11532	"glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
		K01086	"fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
